ID_result,#,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,5_1,5_2,5_3,5_4,5_5,10_1,10_2,10_3,10_4,10_5,20_1,20_2,20_3,20_4,20_5
,139,3.024669006,2.836191572,2.918063311,2.492827306,2.277911431,2.475777398,2.584225863,3.363315481,2.90584288,2.54022346,2.168269549,2.212462206,2.690239428,2.565985959,2.262283273,2.455715898,2.617969771,2.299918895,1.318731092,1.850502725,1.94769658,1.978088299,2.450633071,1.902687418,1.808608427,1.483281827,1.877541038,1.602562251,1.516898492,1.210449191
,141,1.095309051,1.145218645,1.896733129,1.421147582,1.152382994,1.470823859,1.130713787,1.377632151,1.224768089,0.95062638,1.030989507,0.897530298,1.099364569,1.326048067,1.065130033,1.072505416,1.100042499,0.982309665,1.046493598,1.101956775,0.892857119,0.941289499,1.078562676,0.981977976,0.805987291,0.910055903,0.81815304,0.792974338,0.821919233,0.810458885
,142,1.623817222,1.648005304,1.467676304,1.261829256,1.587911914,1.223145637,1.357631797,1.960678854,1.622830369,1.520017637,0.949462525,1.526494867,1.6623434,1.293983007,1.422006601,1.204685255,1.313666786,1.323858526,0.853783906,0.918682155,1.258071177,1.073207778,1.360324454,0.956147744,0.909879476,0.761592596,1.12202807,0.995351752,0.980102891,0.719536536
,145,0.300608207,0.43179117,0.492332065,0.685612419,0.683671514,0.490361328,0.428665411,0.343217493,0.439176109,0.614946344,0.480411945,0.526547664,0.378698818,0.360525277,0.634340719,0.566775118,0.38230342,0.44975663,1.422197166,0.64309857,0.604930099,0.495108624,0.458992973,0.640315174,0.712040971,0.69156602,0.534346907,0.646398267,0.778849318,0.881369182
,146,0.667827888,0.634945897,0.767774079,0.748747677,0.692472998,0.584772212,0.641681907,0.910165132,0.751525828,0.576166747,0.286830897,0.48314585,0.680871425,0.613267223,0.677288474,0.518715739,0.644852464,0.547108839,0.539355276,0.478190516,0.560853043,0.546387374,0.659515291,0.50802792,0.40115919,0.408296134,0.457429141,0.446346241,0.436521095,0.418419553
,147,2.22542404,2.18591159,2.528001845,2.100650791,2.022690458,2.270894049,2.338983411,2.643313081,2.470662379,2.278971056,2.484556077,2.401407612,2.530502695,2.555953103,2.231430059,2.367288627,2.559263394,2.485260695,1.618262486,2.378374813,2.413586706,2.400625865,2.680776778,2.346724455,2.092078108,2.501951928,2.610503126,2.445659908,2.247380585,1.986839097
,148,0.638306181,0.578527767,0.670776208,0.553495256,0.565821261,0.577085769,0.635995592,0.793445129,0.735451541,0.65708598,0.399942915,0.54799713,0.706361572,0.687318961,0.650000802,0.597419773,0.700372395,0.642425775,0.333329533,0.515529797,0.595429852,0.578734913,0.705105789,0.541983604,0.430244383,0.414464024,0.566758925,0.48700078,0.448778824,0.383887322
,149,0.371356096,0.331451881,0.378647812,0.31066321,0.344767786,0.370686118,0.347902995,0.513709768,0.473527239,0.357615787,0.329297044,0.407304226,0.474568024,0.429752706,0.399386351,0.400700633,0.443902102,0.41029772,0.278662909,0.321494121,0.441672682,0.428094966,0.518357179,0.381855089,0.336671366,0.361271725,0.47384339,0.421712566,0.430073035,0.323082036
,150,0.61520839,0.539341295,0.682971102,0.595652787,0.629886535,0.716836012,0.749200983,1.127363121,0.978194875,0.720757912,0.58073806,0.817222158,0.918697513,0.896368005,0.856291189,0.827294873,1.04487357,0.878063991,0.708921074,0.678037534,1.035211774,1.008460862,1.352447442,0.845884423,0.806693781,0.774399356,1.129157451,1.015420513,1.026418515,0.88219967
,151,0.344414419,0.428784036,0.553651303,0.981111296,0.730879287,0.631286712,0.462010732,0.343043369,0.462302082,0.74991516,0.768295171,0.681889762,0.374072632,0.307516594,0.657147083,0.867116355,0.345145941,0.462457695,3.391198055,0.760965599,0.899190546,0.555131692,0.531282478,0.836334616,0.79509242,0.988135278,0.663440919,0.855832799,0.927247596,1.696963703
